RealTimestamp,type K thermocouple_Voltage (mV)
2025-11-19 12:32:51.128,19.723386294742795
2025-11-19 12:32:52.160,19.724964770091447
2025-11-19 12:32:53.188,19.716283155673864
2025-11-19 12:32:54.216,19.754955801715823
2025-11-19 12:32:55.244,19.703655352884653
2025-11-19 12:32:56.276,19.71707239334819
2025-11-19 12:32:57.304,19.713915442650887
2025-11-19 12:32:58.330,19.71707239334819
2025-11-19 12:32:59.359,19.70444459055898
2025-11-19 12:33:00.388,19.766005129156383
2025-11-19 12:33:01.413,19.736803335206332
2025-11-19 12:33:02.440,19.68944907474679
2025-11-19 12:33:03.468,19.705233828233304
2025-11-19 12:33:04.496,19.71154772962791
2025-11-19 12:33:05.525,19.734435622183355
2025-11-19 12:33:06.553,19.736803335206332
2025-11-19 12:33:07.583,19.706812303581955
2025-11-19 12:33:08.611,19.687081361723813
2025-11-19 12:33:09.637,19.699709164513024
2025-11-19 12:33:10.663,19.683135173352184
2025-11-19 12:33:11.690,19.723386294742795
2025-11-19 12:33:12.718,19.721807819394144
2025-11-19 12:33:13.751,19.715493917999538
2025-11-19 12:33:14.778,19.767583604505035
2025-11-19 12:33:15.806,19.732067909160378
2025-11-19 12:33:16.833,19.737592572880658
2025-11-19 12:33:17.863,19.59552979150203
2025-11-19 12:33:18.897,19.60500064359394
2025-11-19 12:33:19.923,19.730489433811726
2025-11-19 12:33:20.952,19.6989199268387
2025-11-19 12:33:21.978,19.743906474275263
2025-11-19 12:33:23.006,19.737592572880658
2025-11-19 12:33:24.035,19.728910958463075
2025-11-19 12:33:25.062,19.726543245440098
2025-11-19 12:33:26.089,19.71865086869684
2025-11-19 12:33:27.120,19.754166564041498
2025-11-19 12:33:28.143,19.63814862591562
2025-11-19 12:33:29.166,19.719440106371167
2025-11-19 12:33:30.190,19.695762976141395
2025-11-19 12:33:31.220,19.710758491953584
2025-11-19 12:33:32.245,19.681556698003533
2025-11-19 12:33:33.270,19.721807819394144
2025-11-19 12:33:34.294,19.730489433811726
2025-11-19 12:33:35.318,19.765215891482057
2025-11-19 12:33:36.342,19.745484949623915
2025-11-19 12:33:37.366,19.705233828233304
2025-11-19 12:33:38.394,19.739960285903635
2025-11-19 12:33:39.420,19.71865086869684
2025-11-19 12:33:40.444,19.635780912892642
2025-11-19 12:33:41.469,19.72259705706847
2025-11-19 12:33:42.493,19.72259705706847
2025-11-19 12:33:43.521,19.725754007765772
2025-11-19 12:33:44.551,19.69655221381572
2025-11-19 12:33:45.581,19.70602306590763
2025-11-19 12:33:46.605,19.72259705706847
2025-11-19 12:33:47.628,19.738381810554984
2025-11-19 12:33:48.653,19.680767460329207
2025-11-19 12:33:49.679,19.723386294742795
2025-11-19 12:33:50.708,19.668139657539996
2025-11-19 12:33:51.737,19.619206921731802
2025-11-19 12:33:52.763,19.74627418729824
2025-11-19 12:33:53.790,19.705233828233304
2025-11-19 12:33:54.819,19.683135173352184
2025-11-19 12:33:55.852,19.669718132888647
2025-11-19 12:33:56.882,19.74469571194959
2025-11-19 12:33:57.910,19.731278671486052
2025-11-19 12:33:58.941,19.694184500792744
2025-11-19 12:33:59.970,19.69655221381572
2025-11-19 12:34:00.998,19.715493917999538
2025-11-19 12:34:02.029,19.725754007765772
2025-11-19 12:34:03.058,19.72417553241712
2025-11-19 12:34:04.085,19.699709164513024
