RealTimestamp,Local_temperature (C),furnace_thermocouple_Voltage (mV),WGM701_Voltage (V),CVM211_Voltage (V),Baratron626D_1KT_Voltage (V),Baratron626D_1T_Voltage (V)
2026-04-08 13:59:46.810,28.651617089590957,19.453467010123404,3.546799962723526,2.8546723312119866,0.0841084826624865,0.3728372162095184
2026-04-08 13:59:47.841,28.644321555762644,19.451099297100427,3.5478266239751974,2.8662815007501194,0.084819248144413,0.3727582422670821
2026-04-08 13:59:48.875,28.637026021934332,19.46688405058694,3.5489322591693053,2.8830239765466104,0.08466130025954044,0.3726792683246458
2026-04-08 13:59:49.911,28.644321555762644,19.45267777244908,3.5492481549390504,2.894554172142307,0.08458232631710416,0.3731531119792635
2026-04-08 13:59:50.943,28.651617089590957,19.445574633380147,3.549958920420977,3.6043719667595724,4.167377202387797,0.37228439861246443
2026-04-08 13:59:51.974,28.644321555762644,19.4471531087288,3.5509855816726486,7.561124430701966,4.30842466357899,0.3727582422670821
2026-04-08 13:59:53.004,28.644321555762644,19.453467010123404,3.5509066077302123,7.982687335426817,4.361337205011296,0.372442346497337
2026-04-08 13:59:54.032,28.651617089590957,19.462937862215313,3.5524071126365016,7.983003231196562,4.395927791798385,0.3730741380368272
2026-04-08 13:59:55.059,28.651617089590957,19.446363871054473,3.5529599302335555,7.983556048793616,4.419304078759524,0.372442346497337
2026-04-08 13:59:56.090,28.644321555762644,19.451888534774753,3.5543814611974085,7.983082205138999,4.439205512253466,0.37299516409439093
2026-04-08 13:59:57.122,28.637026021934332,19.440839207334193,3.554223513312536,7.9833191269663075,4.445839323418113,0.37291619015195465
2026-04-08 13:59:58.152,28.644321555762644,19.45978091151801,3.55540812244908,7.983161179081435,4.444733688224005,0.37299516409439093
2026-04-08 13:59:59.177,28.644321555762644,19.4471531087288,3.5565927315856243,7.983240153023871,4.444891636108878,0.3733900338065723
2026-04-08 14:00:00.207,28.644321555762644,19.462148624540987,3.556750679470497,7.98347707485118,4.443864974857206,0.3719685028427193
2026-04-08 14:00:01.235,28.644321555762644,19.46530557523829,3.5575404188948596,7.98347707485118,4.44378600091477,0.3734690077490086
2026-04-08 14:00:02.261,28.62973048810602,19.4503100594261,3.558251184376786,7.98347707485118,4.443312157260152,0.37260029438220954
2026-04-08 14:00:03.289,28.62973048810602,19.45583472314638,3.559119897743585,7.982766309369254,4.443312157260152,0.37260029438220954
2026-04-08 14:00:04.318,28.637026021934332,19.451099297100427,3.560146558995257,7.983161179081435,4.443075235432843,0.37323208592169976
2026-04-08 14:00:05.347,28.62973048810602,19.45583472314638,3.5606204026498744,7.984029892448234,4.442996261490407,0.3727582422670821
2026-04-08 14:00:06.376,28.637026021934332,19.436893018962564,3.561647063901546,7.9824504135995085,4.443312157260152,0.3726792683246458
2026-04-08 14:00:07.406,28.644321555762644,19.45820243616936,3.5621209075561637,7.9824504135995085,4.442601391778226,0.3721264507275919
2026-04-08 14:00:08.431,28.637026021934332,19.45425624779773,3.562515777268345,7.983003231196562,4.442206522066044,0.37260029438220954
2026-04-08 14:00:09.458,28.644321555762644,19.46135938686666,3.5631475688078353,7.983635022736053,4.442680365720662,0.372442346497337
2026-04-08 14:00:10.484,28.644321555762644,19.46530557523829,3.563068594865399,7.982529387541945,4.442048574181172,0.3723633725549007
2026-04-08 14:00:11.515,28.651617089590957,19.447942346403124,3.5637003864048893,7.983161179081435,4.442206522066044,0.37299516409439093
2026-04-08 14:00:12.545,28.651617089590957,19.46530557523829,3.564411151886816,7.982766309369254,4.441811652353863,0.37188952890028304
2026-04-08 14:00:13.576,28.651617089590957,19.462937862215313,3.565911656793105,7.983635022736053,4.441811652353863,0.37323208592169976
2026-04-08 14:00:14.602,28.62973048810602,19.455045485472056,3.566148578620414,7.982766309369254,4.441100886871936,0.37260029438220954
